City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
628,Hualmay,PE,-11.0964,-77.6139,64.76,84,48,9.08,scattered clouds
629,Pregradnoye,RU,45.8218,41.7469,45.41,70,17,13.33,few clouds
630,Buala,SB,-8.145,159.5921,84.6,72,82,5.95,broken clouds
631,Viedma,AR,-40.8135,-62.9967,60.58,48,0,17.47,clear sky
632,Santa Cruz Del Norte,CU,23.1539,-81.9236,83.01,74,13,7.52,light rain
633,Domokos,GR,39.1272,22.3003,59.0,96,100,2.19,overcast clouds
634,Outlook,CA,51.5001,-107.0513,61.57,28,89,14.88,overcast clouds
635,Saint-Pierre,RE,-21.3393,55.4781,73.04,74,0,5.75,clear sky
636,Vostok,RU,46.4856,135.8833,37.44,85,100,14.18,overcast clouds
637,Karla,EE,59.3723,24.9275,50.58,83,0,11.5,clear sky
638,Langfang,CN,39.5097,116.6947,49.14,53,55,6.55,light rain
639,Santa Marta,CO,11.2408,-74.199,81.34,82,100,9.6,overcast clouds
640,Hajiganj,BD,23.2511,90.8592,77.61,85,20,5.46,few clouds
641,Takoradi,GH,4.8845,-1.7554,76.48,89,100,9.31,overcast clouds
642,Otradnoye,RU,59.7775,30.8181,50.56,70,12,8.55,few clouds
643,Bulaevo,KZ,54.9056,70.4439,30.36,79,88,6.22,overcast clouds
644,Fort Nelson,CA,58.8053,-122.7002,38.07,83,100,5.59,light rain
645,Sembabule,UG,-0.0772,31.4567,64.56,80,81,2.84,broken clouds
646,Pio Xii,BR,-3.8325,-45.1525,80.46,72,77,5.12,broken clouds
647,Maragogi,BR,-9.0122,-35.2225,76.46,81,70,8.3,broken clouds
648,Jiexiu,CN,37.0244,111.9125,45.54,64,97,2.42,overcast clouds
649,Natal,BR,-5.795,-35.2094,81.25,74,20,10.36,few clouds
650,Kavaratti,IN,10.5669,72.642,82.18,81,99,15.08,overcast clouds
651,Joensuu,FI,62.6012,29.7632,51.28,89,90,8.05,overcast clouds
652,Luba,GQ,3.4568,8.5547,77.83,85,100,1.54,overcast clouds
653,Shwebo,MM,22.5667,95.7,77.07,92,29,3.85,scattered clouds
